title,link
U.S. to Restore Military Support to Ukraine After It Agrees to Cease-Fire,https://www.wsj.com/politics/national-security/marco-rubio-says-talks-in-saudi-arabia-key-to-resuming-military-support-for-ukraine-cb34b5a5?mod=hp_lead_pos6
Trump’s Economic Messaging Is Spooking Some of His Own Advisers,https://www.wsj.com/politics/trump-economy-comments-tariffs-recession-team-reaction-f5c24248?mod=hp_lead_pos1
Steel and Aluminum Tariffs Take Effect,https://www.wsj.com/economy/trade/trump-tariffs-steel-no-exemptions-6ed95f5b?mod=hp_lead_pos2
House Passes GOP Measure to Avert Government Shutdown,https://www.wsj.com/politics/policy/gop-house-spending-bill-vote-shutdown-a73f7f14?mod=hp_lead_pos4
Education Department Cuts Nearly Half Its Workforce as Effort to Shut the Agency Looms,https://www.wsj.com/politics/policy/education-department-cuts-nearly-half-its-workforce-amid-effort-to-close-the-agency-8742bdd1?mod=hp_lead_pos5
China Is Mapping the Seabed to Unlock a New Edge in Warfare,https://www.wsj.com/world/asia/china-is-mapping-the-seabed-to-unlock-a-new-edge-in-warfare-c8ac5180?mod=hp_lead_pos8
Meet the Trump Voters Downplaying Hits to Their 401(k)s,https://www.wsj.com/politics/policy/meet-the-trump-voters-downplaying-hits-to-their-401-k-s-dee6407f?mod=hp_lead_pos10
Law Firm Sues Trump Administration Over Retaliation,https://www.wsj.com/us-news/law/law-firm-sues-trump-administration-over-retaliation-e6c48aeb?mod=hp_lead_pos11
